,dataset,graph,representation,index,train accuracy,validation accuracy
0,POJ-5_TVT,llvm_histogram,all_features_O0,round2,0.9106666445732117,0.9120000004768372
1,POJ-5_TVT,ir2vec,all_features_O0_ncc_model,round2,0.20000000298023224,0.20000000298023224
2,POJ-5_TVT,ir2vec,all_features_O0,round2,0.8619999885559082,0.8880000114440918
3,POJ-5_TVT,programl,all_features_inst2vec_O0,round2,0.8486666679382324,0.8399999737739563
4,POJ-5_TVT,programl,all_features_bag_of_words_O0,round2,0.8226666450500488,0.8159999847412109
5,POJ-5_TVT,programl,all_features_ir2vec_O0,round2,0.7146666646003723,0.7099999785423279
6,POJ-5_TVT,rbp,all_features_O0,round2,0.2553333342075348,0.4259999990463257
7,POJ-5_TVT,prog2image,all_features_O0,round2,0.9913333058357239,0.8500000238418579
8,POJ-5_TVT,inst2vec,all_features_O0_ncc_model,round2,0.20533333718776703,0.20000000298023224
9,POJ-5_TVT,inst2vec,all_features_O0,round2,0.9860000014305115,0.9539999961853027
10,POJ-5_TVT,lbp,all_features_O0,round2,0.21533332765102386,0.2759999930858612
11,POJ-5_TVT,cfg,all_features_inst2vec_O0,round2,0.9179999828338623,0.9300000071525574
12,POJ-5_TVT,cfg,all_features_bag_of_words_O0,round2,0.8506666421890259,0.8560000061988831
13,POJ-5_TVT,cfg,all_features_ir2vec_O0,round2,0.7593333125114441,0.7960000038146973
14,POJ-5_TVT,cdfg_compact_single_edges,all_features_inst2vec_O0,round2,0.9020000100135803,0.9139999747276306
15,POJ-5_TVT,cdfg_compact_single_edges,all_features_bag_of_words_O0,round2,0.9440000057220459,0.9459999799728394
16,POJ-5_TVT,cdfg_compact_single_edges,all_features_ir2vec_O0,round2,0.9193333387374878,0.9240000247955322
17,POJ-5_TVT,cdfg,all_features_inst2vec_O0,round2,0.8433333039283752,0.8600000143051147
18,POJ-5_TVT,cdfg,all_features_bag_of_words_O0,round2,0.9006666541099548,0.8880000114440918
19,POJ-5_TVT,cdfg,all_features_ir2vec_O0,round2,0.8840000033378601,0.8799999952316284
20,POJ-5_TVT,cfg_compact_single_edges,all_features_inst2vec_O0,round2,0.9013333320617676,0.9139999747276306
21,POJ-5_TVT,cfg_compact_single_edges,all_features_bag_of_words_O0,round2,0.8886666893959045,0.8999999761581421
22,POJ-5_TVT,cfg_compact_single_edges,all_features_ir2vec_O0,round2,0.9206666946411133,0.9120000004768372
23,POJ-5_TVT,milepost,all_features_O0_ncc_model,round2,0.20000000298023224,0.20000000298023224
24,POJ-5_TVT,milepost,all_features_O0,round2,0.906000018119812,0.9300000071525574
25,POJ-5_TVT,cdfg_plus,all_features_inst2vec_O0,round2,0.9013333320617676,0.9100000262260437
26,POJ-5_TVT,cdfg_plus,all_features_bag_of_words_O0,round2,0.9100000262260437,0.9100000262260437
27,POJ-5_TVT,cdfg_plus,all_features_ir2vec_O0,round2,0.36000001430511475,0.4000000059604645
28,POJ-5_TVT,llvm_histogram,all_features_O0,round1,0.8740000128746033,0.8840000033378601
29,POJ-5_TVT,ir2vec,all_features_O0_ncc_model,round1,0.20000000298023224,0.20000000298023224
30,POJ-5_TVT,ir2vec,all_features_O0,round1,0.8659999966621399,0.8859999775886536
31,POJ-5_TVT,programl,all_features_inst2vec_O0,round1,0.6060000061988831,0.6299999952316284
32,POJ-5_TVT,programl,all_features_bag_of_words_O0,round1,0.6653333306312561,0.7080000042915344
33,POJ-5_TVT,programl,all_features_ir2vec_O0,round1,0.6306666731834412,0.6700000166893005
34,POJ-5_TVT,rbp,all_features_O0,round1,0.21400000154972076,0.20000000298023224
35,POJ-5_TVT,prog2image,all_features_O0,round1,0.9980000257492065,0.8519999980926514
36,POJ-5_TVT,inst2vec,all_features_O0_ncc_model,round1,0.20466665923595428,0.20000000298023224
37,POJ-5_TVT,inst2vec,all_features_O0,round1,0.9713333249092102,0.9480000138282776
38,POJ-5_TVT,lbp,all_features_O0,round1,0.20999999344348907,0.20000000298023224
39,POJ-5_TVT,cfg,all_features_inst2vec_O0,round1,0.9026666879653931,0.8880000114440918
40,POJ-5_TVT,cfg,all_features_bag_of_words_O0,round1,0.6520000100135803,0.7200000286102295
41,POJ-5_TVT,cfg,all_features_ir2vec_O0,round1,0.8173333406448364,0.8180000185966492
42,POJ-5_TVT,cdfg_compact_single_edges,all_features_inst2vec_O0,round1,0.8346666693687439,0.8700000047683716
43,POJ-5_TVT,cdfg_compact_single_edges,all_features_bag_of_words_O0,round1,0.9486666917800903,0.9459999799728394
44,POJ-5_TVT,cdfg_compact_single_edges,all_features_ir2vec_O0,round1,0.9266666769981384,0.9160000085830688
45,POJ-5_TVT,cdfg,all_features_inst2vec_O0,round1,0.8693333268165588,0.8899999856948853
46,POJ-5_TVT,cdfg,all_features_bag_of_words_O0,round1,0.859333336353302,0.8579999804496765
47,POJ-5_TVT,cdfg,all_features_ir2vec_O0,round1,0.809333324432373,0.7979999780654907
48,POJ-5_TVT,cfg_compact_single_edges,all_features_inst2vec_O0,round1,0.9440000057220459,0.9419999718666077
49,POJ-5_TVT,cfg_compact_single_edges,all_features_bag_of_words_O0,round1,0.9459999799728394,0.9520000219345093
50,POJ-5_TVT,cfg_compact_single_edges,all_features_ir2vec_O0,round1,0.9626666903495789,0.9559999704360962
51,POJ-5_TVT,milepost,all_features_O0_ncc_model,round1,0.20133332908153534,0.20000000298023224
52,POJ-5_TVT,milepost,all_features_O0,round1,0.9146666526794434,0.9380000233650208
53,POJ-5_TVT,cdfg_plus,all_features_inst2vec_O0,round1,0.8920000195503235,0.9039999842643738
54,POJ-5_TVT,cdfg_plus,all_features_bag_of_words_O0,round1,0.7020000219345093,0.7459999918937683
55,POJ-5_TVT,cdfg_plus,all_features_ir2vec_O0,round1,0.7099999785423279,0.7419999837875366
56,POJ-5_TVT,llvm_histogram,all_features_O0,round3,0.8799999952316284,0.8820000290870667
57,POJ-5_TVT,ir2vec,all_features_O0_ncc_model,round3,0.20000000298023224,0.20000000298023224
58,POJ-5_TVT,ir2vec,all_features_O0,round3,0.8793333172798157,0.8859999775886536
59,POJ-5_TVT,programl,all_features_inst2vec_O0,round3,0.8166666626930237,0.8180000185966492
60,POJ-5_TVT,programl,all_features_bag_of_words_O0,round3,0.8926666378974915,0.8799999952316284
61,POJ-5_TVT,programl,all_features_ir2vec_O0,round3,0.7839999794960022,0.7639999985694885
62,POJ-5_TVT,rbp,all_features_O0,round3,0.23266667127609253,0.39399999380111694
63,POJ-5_TVT,prog2image,all_features_O0,round3,0.9986666440963745,0.8579999804496765
64,POJ-5_TVT,inst2vec,all_features_O0_ncc_model,round3,0.20533333718776703,0.20200000703334808
65,POJ-5_TVT,inst2vec,all_features_O0,round3,0.9973333477973938,0.9559999704360962
66,POJ-5_TVT,lbp,all_features_O0,round3,0.2160000056028366,0.27799999713897705
67,POJ-5_TVT,cfg,all_features_inst2vec_O0,round3,0.8686666488647461,0.8880000114440918
68,POJ-5_TVT,cfg,all_features_bag_of_words_O0,round3,0.8926666378974915,0.9020000100135803
69,POJ-5_TVT,cfg,all_features_ir2vec_O0,round3,0.6940000057220459,0.7519999742507935
70,POJ-5_TVT,cdfg_compact_single_edges,all_features_inst2vec_O0,round3,0.8659999966621399,0.8679999709129333
71,POJ-5_TVT,cdfg_compact_single_edges,all_features_bag_of_words_O0,round3,0.940666675567627,0.9380000233650208
72,POJ-5_TVT,cdfg_compact_single_edges,all_features_ir2vec_O0,round3,0.9353333115577698,0.921999990940094
73,POJ-5_TVT,cdfg,all_features_inst2vec_O0,round3,0.9126666784286499,0.9440000057220459
74,POJ-5_TVT,cdfg,all_features_bag_of_words_O0,round3,0.8799999952316284,0.8820000290870667
75,POJ-5_TVT,cdfg,all_features_ir2vec_O0,round3,0.8880000114440918,0.8939999938011169
76,POJ-5_TVT,cfg_compact_single_edges,all_features_inst2vec_O0,round3,0.9466666579246521,0.9559999704360962
77,POJ-5_TVT,cfg_compact_single_edges,all_features_bag_of_words_O0,round3,0.8960000276565552,0.8999999761581421
78,POJ-5_TVT,cfg_compact_single_edges,all_features_ir2vec_O0,round3,0.9393333196640015,0.9380000233650208
79,POJ-5_TVT,milepost,all_features_O0_ncc_model,round3,0.20000000298023224,0.20000000298023224
80,POJ-5_TVT,milepost,all_features_O0,round3,0.8786666393280029,0.9020000100135803
81,POJ-5_TVT,cdfg_plus,all_features_inst2vec_O0,round3,0.7333333492279053,0.7620000243186951
82,POJ-5_TVT,cdfg_plus,all_features_bag_of_words_O0,round3,0.8820000290870667,0.8740000128746033
83,POJ-5_TVT,cdfg_plus,all_features_ir2vec_O0,round3,0.2866666615009308,0.3499999940395355
84,POJ50C_TVT,llvm_histogram,all_features_O0_50C,round2,0.758400022983551,0.7925999760627747
85,POJ50C_TVT,rbp,all_features_O0_50C,round2,0.10239999741315842,0.1565999984741211
86,POJ50C_TVT,ir2vec.program,all_features_O0_50C,round2,0.7131999731063843,0.7847999930381775
87,POJ50C_TVT,prog2image,all_features_O0_50C,round2,0.8606666922569275,0.6233999729156494
88,POJ50C_TVT,inst2vec.lower,all_features_O0_50C,round2,0.6690666675567627,0.8313999772071838
89,POJ50C_TVT,lbp,all_features_O0_50C,round2,0.02160000056028366,0.0272000003606081
90,POJ50C_TVT,milepost,all_features_O0_50C,round2,0.7050666809082031,0.7748000025749207
91,POJ50C_TVT,llvm_histogram,all_features_O0_50C,round1,0.7734000086784363,0.8058000206947327
92,POJ50C_TVT,rbp,all_features_O0_50C,round1,0.11593333631753922,0.1509999930858612
93,POJ50C_TVT,ir2vec.program,all_features_O0_50C,round1,0.7077999711036682,0.7853999733924866
94,POJ50C_TVT,prog2image,all_features_O0_50C,round1,0.8758666515350342,0.6322000026702881
95,POJ50C_TVT,inst2vec.lower,all_features_O0_50C,round1,0.5498666763305664,0.7918000221252441
96,POJ50C_TVT,lbp,all_features_O0_50C,round1,0.022199999541044235,0.027799999341368675
97,POJ50C_TVT,milepost,all_features_O0_50C,round1,0.7210666537284851,0.7793999910354614
98,POJ50C_TVT,llvm_histogram,all_features_O0_50C,round3,0.7643333077430725,0.8032000064849854
99,POJ50C_TVT,rbp,all_features_O0_50C,round3,0.14613333344459534,0.2070000022649765
100,POJ50C_TVT,ir2vec.program,all_features_O0_50C,round3,0.7292666435241699,0.7946000099182129
101,POJ50C_TVT,prog2image,all_features_O0_50C,round3,0.8515333533287048,0.6263999938964844
102,POJ50C_TVT,inst2vec.lower,all_features_O0_50C,round3,0.5695333480834961,0.8077999949455261
103,POJ50C_TVT,lbp,all_features_O0_50C,round3,0.02133333310484886,0.019999999552965164
104,POJ50C_TVT,milepost,all_features_O0_50C,round3,0.725600004196167,0.7900000214576721
105,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallcompact1enoroot,all_features_inst2vec_O0,round2,0.3293333351612091,0.30799999833106995
106,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallcompact1enoroot,all_features_bag_of_words_O0,round2,0.2906666696071625,0.2800000011920929
107,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallcompact1enoroot,all_features_ir2vec_O0,round2,0.3186666667461395,0.30399999022483826
108,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,llvm_histogram,all_features_O0,round2,0.41066667437553406,0.34599998593330383
109,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,programl,all_features_inst2vec_O0,round2,0.22066666185855865,0.23800000548362732
110,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,programl,all_features_bag_of_words_O0,round2,0.2913333475589752,0.26600000262260437
111,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,programl,all_features_ir2vec_O0,round2,0.23733332753181458,0.24400000274181366
112,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,rbp,all_features_O0,round2,0.22599999606609344,0.25200000405311584
113,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,ir2vec.program,all_features_O0,round2,0.3153333365917206,0.3240000009536743
114,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,prog2image,all_features_O0,round2,0.8546666502952576,0.2879999876022339
115,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,inst2vec.lower,all_features_O0,round2,0.22066666185855865,0.2240000069141388
116,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallcompact1enoroot,all_features_inst2vec_O0,round2,0.3113333284854889,0.26600000262260437
117,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallcompact1enoroot,all_features_bag_of_words_O0,round2,0.3919999897480011,0.30399999022483826
118,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallcompact1enoroot,all_features_ir2vec_O0,round2,0.3213333189487457,0.3019999861717224
119,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallnoroot,all_features_inst2vec_O0,round2,0.2840000092983246,0.2759999930858612
120,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallnoroot,all_features_ir2vec_O0,round2,0.23266667127609253,0.22200000286102295
121,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallnoroot,all_features_bag_of_words,round2,0.2853333353996277,0.30000001192092896
122,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,inst2vec,all_features_O0,round2,0.21199999749660492,0.20000000298023224
123,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,lbp,all_features_O0,round2,0.23333333432674408,0.23600000143051147
124,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,milepost,all_features_O0,round2,0.3153333365917206,0.2939999997615814
125,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallnoroot,all_features_inst2vec_O0,round2,0.23466666042804718,0.2460000067949295
126,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallnoroot,all_features_bag_of_words_O0,round2,0.2939999997615814,0.27000001072883606
127,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallnoroot,all_features_ir2vec_O0,round2,0.28600001335144043,0.28999999165534973
128,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfg_plus,all_features_inst2vec_O0,round2,0.2540000081062317,0.23399999737739563
129,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfg_plus,all_features_bag_of_words_O0,round2,0.2540000081062317,0.2720000147819519
130,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfg_plus,all_features_ir2vec_O0,round2,0.22066666185855865,0.24400000274181366
131,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallcompact1enoroot,all_features_inst2vec_O0,round1,0.3293333351612091,0.3019999861717224
132,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallcompact1enoroot,all_features_bag_of_words_O0,round1,0.31933334469795227,0.28600001335144043
133,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallcompact1enoroot,all_features_ir2vec_O0,round1,0.2939999997615814,0.3140000104904175
134,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,llvm_histogram,all_features_O0,round1,0.38733333349227905,0.3479999899864197
135,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,programl,all_features_inst2vec_O0,round1,0.2919999957084656,0.27000001072883606
136,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,programl,all_features_bag_of_words_O0,round1,0.28733333945274353,0.27000001072883606
137,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,programl,all_features_ir2vec_O0,round1,0.22466666996479034,0.2460000067949295
138,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,rbp,all_features_O0,round1,0.2199999988079071,0.2199999988079071
139,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,ir2vec.program,all_features_O0,round1,0.437333345413208,0.3840000033378601
140,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,prog2image,all_features_O0,round1,0.9893333315849304,0.3100000023841858
141,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,inst2vec.lower,all_features_O0,round1,0.23466666042804718,0.23399999737739563
142,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallcompact1enoroot,all_features_inst2vec_O0,round1,0.27133333683013916,0.27000001072883606
143,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallcompact1enoroot,all_features_bag_of_words_O0,round1,0.33000001311302185,0.32199999690055847
144,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallcompact1enoroot,all_features_ir2vec_O0,round1,0.31333333253860474,0.27399998903274536
145,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallnoroot,all_features_inst2vec_O0,round1,0.26733332872390747,0.2460000067949295
146,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallnoroot,all_features_ir2vec_O0,round1,0.2633333206176758,0.257999986410141
147,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallnoroot,all_features_bag_of_words,round1,0.30133333802223206,0.27799999713897705
148,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,inst2vec,all_features_O0,round1,0.20733332633972168,0.20000000298023224
149,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,lbp,all_features_O0,round1,0.21799999475479126,0.21199999749660492
150,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,milepost,all_features_O0,round1,0.28733333945274353,0.2939999997615814
151,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallcompactnoroot,all_features_bag_of_words_O0,round1,0.34200000762939453,0.31200000643730164
152,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallnoroot,all_features_inst2vec_O0,round1,0.2639999985694885,0.2460000067949295
153,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallnoroot,all_features_bag_of_words_O0,round1,0.3086666762828827,0.2919999957084656
154,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallnoroot,all_features_ir2vec_O0,round1,0.2840000092983246,0.26600000262260437
155,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfg_plus,all_features_inst2vec_O0,round1,0.21466666460037231,0.2280000001192093
156,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfg_plus,all_features_bag_of_words_O0,round1,0.2606666684150696,0.2619999945163727
157,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfg_plus,all_features_ir2vec_O0,round1,0.20800000429153442,0.2280000001192093
158,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallcompact1enoroot,all_features_inst2vec_O0,round3,0.3453333377838135,0.3059999942779541
159,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallcompact1enoroot,all_features_bag_of_words_O0,round3,0.30933332443237305,0.2840000092983246
160,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallcompact1enoroot,all_features_ir2vec_O0,round3,0.2919999957084656,0.3019999861717224
161,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,llvm_histogram,all_features_O0,round3,0.44200000166893005,0.36000001430511475
162,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,programl,all_features_inst2vec_O0,round3,0.26466667652130127,0.25200000405311584
163,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,programl,all_features_bag_of_words_O0,round3,0.27000001072883606,0.24400000274181366
164,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,programl,all_features_ir2vec_O0,round3,0.2513333261013031,0.25999999046325684
165,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,rbp,all_features_O0,round3,0.2460000067949295,0.23999999463558197
166,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,ir2vec.program,all_features_O0,round3,0.382666677236557,0.33799999952316284
167,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,prog2image,all_features_O0,round3,0.9313333630561829,0.3100000023841858
168,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,inst2vec.lower,all_features_O0,round3,0.24199999868869781,0.24199999868869781
169,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallcompact1enoroot,all_features_inst2vec_O0,round3,0.28999999165534973,0.25600001215934753
170,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallcompact1enoroot,all_features_bag_of_words_O0,round3,0.34466665983200073,0.3059999942779541
